Symbol,Name,Sector
AET,Aetna Inc,Health Care
ARE,Alexandria Real Estate Equities Inc,Real Estate
ANDV,Andeavor,Energy
BF.B,Brown-Forman Corp.,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
MON,Monsanto Co.,Materials
CSRA,CSRA Inc.,Information Technology
DPS,Dr Pepper Snapple Group,Consumer Staples
EVHC,Envision Healthcare,Health Care
ESRX,Express Scripts,Health Care
GGP,General Growth Properties Inc.,Real Estate
LUK,Leucadia National Corp.,Financials
NFX,Newfield Exploration Co,Energy
PX,Praxair Inc.,Materials
COL,Rockwell Collins,Industrials
SCG,SCANA Corp,Utilities
TWX,Time Warner Inc.,Consumer Discretionary
WYN,Wyndham Worldwide,Consumer Discretionary
XL,XL Capital,Financials
BABA,Alibaba Group Holding Limited,Information Technology
